type,ev
401(k),144725
401(k),121521
Paid Time Off,176452
401(k),81585
Stock Options,58534
Paid Time Off,198245
Health Insurance,166475
Paid Time Off,108959
401(k),105920
401(k),111129
Remote Work,106654
Remote Work,170420
Health Insurance,161818
Stock Options,184609
Remote Work,164712
Stock Options,94714
401(k),109262
Paid Time Off,102452
Stock Options,109299
401(k),52414
Stock Options,109022
401(k),87519
401(k),88118
Paid Time Off,52485
401(k),89572
401(k),153806
401(k),84337
401(k),65327
Health Insurance,136415
401(k),56708
Stock Options,115496
Paid Time Off,86391
Stock Options,169618
Remote Work,159826
Remote Work,144824
401(k),141118
Stock Options,79486
Remote Work,189927
401(k),57498
Health Insurance,63784
Paid Time Off,66200
401(k),153553
Remote Work,115319
401(k),101751
Health Insurance,199609
401(k),159584
Health Insurance,86207
401(k),157571
Stock Options,181199
Stock Options,125471
401(k),172362
401(k),163114
401(k),157963
Remote Work,62909
Health Insurance,172233
Remote Work,58657
Paid Time Off,173046
Remote Work,73597
Paid Time Off,122185
Stock Options,145659
401(k),82239
401(k),185827
Health Insurance,179199
401(k),121592
Paid Time Off,52604
401(k),164745
Stock Options,155460
Remote Work,145752
Stock Options,60486
401(k),185163
401(k),154109
Paid Time Off,171282
Paid Time Off,102392
Stock Options,133455
Stock Options,60966
401(k),172913
Remote Work,125917
Health Insurance,170818
401(k),146518
Paid Time Off,149142
Paid Time Off,71565
401(k),66026
Remote Work,51928
Health Insurance,120168
Health Insurance,155823
Stock Options,188203
401(k),50489
Health Insurance,124523
Remote Work,167741
Remote Work,99359
Health Insurance,76415
Stock Options,155040
Paid Time Off,107023
401(k),165092
401(k),178157
Paid Time Off,132825
401(k),197410
Stock Options,184115
Health Insurance,141029
401(k),96143
401(k),163216
Stock Options,91800
Remote Work,134763
Stock Options,122005
Paid Time Off,83425
Health Insurance,155665
401(k),195950
Paid Time Off,57601
Remote Work,189470
401(k),193246
401(k),150519
Remote Work,140029
Remote Work,163151
Paid Time Off,91409
Health Insurance,58796
Health Insurance,122328
Paid Time Off,85708
Remote Work,87245
Remote Work,58696
Paid Time Off,151191
401(k),152647
Health Insurance,105294
401(k),77814
Paid Time Off,106930
Health Insurance,163037
Remote Work,126386
401(k),142593
401(k),132760
Paid Time Off,168472
Stock Options,91075
401(k),165727
Health Insurance,78564
Health Insurance,140117
401(k),86981
401(k),122496
Remote Work,135911
401(k),177546
401(k),171820
Health Insurance,196120
Stock Options,126198
Remote Work,143435
Health Insurance,120420
401(k),56241
401(k),178602
401(k),191787
Remote Work,78712
401(k),78183
Remote Work,74060
Stock Options,77162
401(k),96447
Remote Work,125435
Remote Work,77061
401(k),55534
401(k),159236
Paid Time Off,197620
Remote Work,118781
Remote Work,191781
Health Insurance,95847
401(k),149986
Paid Time Off,135180
401(k),157666
401(k),95549
Remote Work,52576
Stock Options,103163
401(k),50983
401(k),139524
401(k),94910
Remote Work,80095
Paid Time Off,97493
Remote Work,52966
401(k),185755
Remote Work,100722
Paid Time Off,97396
Health Insurance,65487
401(k),102750
401(k),176335
Remote Work,196111
401(k),150148
401(k),119019
Remote Work,199288
Remote Work,153930
401(k),122754
401(k),185398
Paid Time Off,128713
Remote Work,188967
Health Insurance,151617
401(k),64291
Remote Work,173175
Stock Options,50730
Remote Work,59845
401(k),52814
401(k),69333
401(k),127433
401(k),73952
Paid Time Off,193024
401(k),178097
Stock Options,160799
Remote Work,155539
401(k),146561
401(k),102551
Paid Time Off,172335
401(k),172384
Stock Options,162224
Health Insurance,90817
401(k),125131
401(k),73278
Paid Time Off,191880
Remote Work,199270
Remote Work,148982
401(k),156101
Remote Work,198980
Stock Options,184759
Remote Work,186918
Remote Work,124812
401(k),141705
Stock Options,197038
Stock Options,183445
Remote Work,101930
Health Insurance,103185
401(k),71135
Paid Time Off,194758
401(k),159378
Stock Options,158780
Stock Options,133535
Stock Options,153459
Stock Options,68200
Paid Time Off,50879
401(k),193756
401(k),199965
Remote Work,153031
Paid Time Off,87232
Paid Time Off,179692
401(k),164368
401(k),50782
Remote Work,70450
401(k),116272
401(k),148745
Paid Time Off,57707
Paid Time Off,103368
401(k),141646
401(k),121611
401(k),96984
Paid Time Off,62235
Stock Options,107813
Health Insurance,172825
401(k),94532
Health Insurance,84521
Paid Time Off,189779
Stock Options,186602
Stock Options,190254
Paid Time Off,136179
401(k),86546
Health Insurance,171252
401(k),103532
Stock Options,71793
Paid Time Off,71516
Stock Options,125523
401(k),71617
401(k),58011
Stock Options,95129
Remote Work,157586
Stock Options,131192
Health Insurance,133845
Health Insurance,101120
Paid Time Off,68662
Stock Options,125576
401(k),50985
401(k),119760
401(k),158118
Stock Options,112134
Paid Time Off,91044
Stock Options,106161
401(k),113772
Health Insurance,198384
Health Insurance,77003
Health Insurance,63044
Remote Work,51991
401(k),108828
Remote Work,135723
Remote Work,181680
Remote Work,199719
401(k),168781
Remote Work,169860
401(k),125084
Stock Options,58682
401(k),196406
Remote Work,86383
Health Insurance,190792
Paid Time Off,140269
Remote Work,120299
401(k),80459
401(k),148313
Stock Options,193312
Stock Options,179359
Remote Work,95463
401(k),77099
Stock Options,128667
Health Insurance,189600
Health Insurance,139931
Paid Time Off,84829
401(k),110631
Health Insurance,68113
401(k),198779
401(k),193104
401(k),64748
Paid Time Off,73833
401(k),196380
Health Insurance,96564
401(k),193963
Remote Work,197597
Health Insurance,71557
Paid Time Off,88492
Health Insurance,109615
401(k),97459
Paid Time Off,130916
401(k),159499
Paid Time Off,183574
Remote Work,182657
401(k),114006
401(k),195718
401(k),198128
Remote Work,141136
Remote Work,196367
401(k),87678
401(k),183923
Remote Work,116397
401(k),84726
401(k),136648
Remote Work,173545
Remote Work,193438
Stock Options,150452
401(k),173034
Stock Options,183200
Remote Work,158541
Paid Time Off,116509
401(k),146458
401(k),87305
Stock Options,165192
Health Insurance,101482
Remote Work,153379
Paid Time Off,198099
Remote Work,87331
Remote Work,68485
Remote Work,100819
Remote Work,99819
Stock Options,152043
Remote Work,101145
Remote Work,67249
Paid Time Off,188357
Paid Time Off,81905
Remote Work,139062
401(k),170928
401(k),183465
401(k),175461
Stock Options,169230
401(k),135798
Health Insurance,188769
Remote Work,119815
Paid Time Off,122155
Remote Work,134833
401(k),75841
Health Insurance,152774
Health Insurance,109131
401(k),139210
Remote Work,105165
Stock Options,59563
Stock Options,70264
Paid Time Off,100014
Remote Work,53553
401(k),52737
Remote Work,180447
Health Insurance,196667
Remote Work,167207
Health Insurance,124043
401(k),150901
401(k),134530
401(k),196127
401(k),159568
401(k),52432
Stock Options,159601
Remote Work,194197
Paid Time Off,59469
Health Insurance,165819
401(k),176935
Paid Time Off,60446
Health Insurance,164375
Stock Options,116604
Health Insurance,124028
Stock Options,120638
Paid Time Off,184366
401(k),151416
401(k),112416
Remote Work,77462
Health Insurance,178511
401(k),50069
Remote Work,133060
Health Insurance,143617
Paid Time Off,156438
Remote Work,61907
401(k),176058
Paid Time Off,142262
401(k),79419
401(k),56962
Paid Time Off,67722
Stock Options,194971
Paid Time Off,133056
Remote Work,114812
Paid Time Off,73066
Stock Options,81226
Paid Time Off,151300
Health Insurance,130562
Stock Options,188760
Remote Work,160688
401(k),82538
Remote Work,55958
Remote Work,163315
401(k),55028
401(k),52000
401(k),128860
Stock Options,184519
401(k),107118
Stock Options,87188
401(k),86840
Stock Options,111831
Remote Work,108613
401(k),106905
Health Insurance,105742
401(k),153359
401(k),173820
401(k),146802
Stock Options,184542
Paid Time Off,193282
Paid Time Off,163795
Health Insurance,189484
401(k),57977
401(k),94080
Paid Time Off,53298
Health Insurance,152198
Stock Options,102273
Remote Work,165497
Paid Time Off,171739
Remote Work,147263
Health Insurance,159848
401(k),197539
401(k),139975
401(k),157815
Paid Time Off,53776
Paid Time Off,121121
Stock Options,56656
Stock Options,190349
Stock Options,125469
Stock Options,169648
401(k),174190
Health Insurance,52029
401(k),77543
401(k),180409
401(k),148861
Remote Work,56059
Remote Work,53737
Stock Options,70709
Remote Work,91259
401(k),144972
401(k),91210
Remote Work,196944
Paid Time Off,98747
Health Insurance,168156
401(k),134327
Remote Work,158321
Paid Time Off,152071
Remote Work,112935
Health Insurance,167480
401(k),130377
401(k),148032
401(k),90130
Stock Options,76807
401(k),108487
401(k),131997
401(k),160914
Health Insurance,74341
401(k),69232
Stock Options,167689
401(k),121502
Stock Options,197719
Paid Time Off,68177
401(k),174399
401(k),80396
Stock Options,192671
401(k),95882
Stock Options,57985
Paid Time Off,181017
401(k),57056
Stock Options,163396
401(k),173539
Health Insurance,67739
Paid Time Off,176624
Stock Options,134518
Remote Work,88283
401(k),167729
Stock Options,63619
401(k),51669
401(k),178079
401(k),194182
401(k),115896
Remote Work,128140
401(k),94722
Stock Options,199845
Health Insurance,114116
Remote Work,109763
401(k),175877
Stock Options,164788
Paid Time Off,52534
Stock Options,119969
401(k),124382
401(k),98939
Health Insurance,159563
Paid Time Off,172579
401(k),196710
401(k),173864
Health Insurance,77057
Health Insurance,148858
Paid Time Off,73620
Stock Options,170379
Stock Options,166694
Paid Time Off,81308
Remote Work,145980
401(k),169987
401(k),120379
Stock Options,52827
401(k),137439
Paid Time Off,114285
Health Insurance,82850
Stock Options,190455
Health Insurance,115413
401(k),56016
401(k),62076
Health Insurance,166705
Paid Time Off,180869
Remote Work,140818
401(k),112457
401(k),178846
Health Insurance,100119
401(k),189861
Paid Time Off,92941
401(k),185886
Remote Work,74459
401(k),194789
Remote Work,181992
401(k),90270
401(k),131860
Remote Work,78892
401(k),135049
401(k),95724
401(k),156376
Remote Work,145813
Paid Time Off,90249
Paid Time Off,111002
401(k),129414
Remote Work,90192
Health Insurance,166545
401(k),133570
401(k),75625
Paid Time Off,164954
Health Insurance,133665
401(k),177178
Stock Options,197620
Stock Options,83314
401(k),183585
Paid Time Off,139462
401(k),118269
401(k),106047
401(k),187829
Remote Work,73148
Remote Work,188807
401(k),78235
Paid Time Off,179003
401(k),173182
Health Insurance,184416
Stock Options,184693
401(k),170663
401(k),194852
Health Insurance,103030
Paid Time Off,67558
Health Insurance,64339
Remote Work,161257
Stock Options,99277
401(k),125771
401(k),97020
401(k),117326
401(k),55210
Health Insurance,102565
401(k),51621
Health Insurance,86643
401(k),97521
401(k),170993
401(k),159663
401(k),164311
401(k),120227
401(k),166830
Remote Work,64594
Health Insurance,51704
401(k),62773
401(k),89990
Paid Time Off,111545
401(k),77590
401(k),140576
Health Insurance,155432
Stock Options,82716
401(k),79606
401(k),116693
Health Insurance,188906
Remote Work,182560
401(k),146047
Health Insurance,187929
401(k),164495
Health Insurance,113888
Health Insurance,191963
Health Insurance,194105
Paid Time Off,145458
Paid Time Off,137802
401(k),171065
401(k),151646
Stock Options,160679
Stock Options,50565
Stock Options,66184
Health Insurance,66520
Stock Options,150121
Remote Work,86760
401(k),194420
Remote Work,162402
Health Insurance,171844
Stock Options,199586
Stock Options,72292
Paid Time Off,178132
Health Insurance,167624
Stock Options,162737
401(k),169357
Remote Work,84243
Stock Options,151455
Paid Time Off,107169
401(k),134450
401(k),113644
Health Insurance,100967
401(k),67549
Paid Time Off,127611
Remote Work,108584
Paid Time Off,177816
Health Insurance,171011
401(k),128814
401(k),158117
401(k),98024
Stock Options,169087
Health Insurance,138737
401(k),111508
Remote Work,175082
Stock Options,190375
Stock Options,141753
Remote Work,58345
Remote Work,129456
Stock Options,188225
401(k),53637
Health Insurance,149672
401(k),160115
401(k),126170
401(k),145951
Stock Options,168977
Remote Work,110382
Health Insurance,74475
401(k),85876
401(k),61045
Stock Options,90961
401(k),113308
401(k),108580
401(k),117644
401(k),72909
401(k),135720
401(k),88278
401(k),146102
Paid Time Off,57765
Stock Options,99414
Paid Time Off,162539
Remote Work,64832
401(k),66702
Stock Options,109190
Paid Time Off,70068
401(k),110667
401(k),197834
Health Insurance,51466
Remote Work,120078
Remote Work,80831
401(k),181388
401(k),193295
401(k),103522
Health Insurance,182276
401(k),124265
Remote Work,164572
401(k),172529
Paid Time Off,142631
Health Insurance,68137
401(k),168732
Health Insurance,192649
Remote Work,95045
Remote Work,83844
Health Insurance,155220
401(k),188400
Stock Options,53978
Stock Options,158834
Health Insurance,60895
Health Insurance,54268
Remote Work,134194
401(k),142620
401(k),157018
401(k),131067
Remote Work,97425
Paid Time Off,58647
Stock Options,198729
401(k),63380
Health Insurance,155343
Health Insurance,86670
Health Insurance,135042
401(k),86910
Stock Options,114696
Remote Work,189539
Paid Time Off,114869
401(k),130262
401(k),139394
401(k),178272
Paid Time Off,91836
Paid Time Off,58201
401(k),183503
Remote Work,174977
Paid Time Off,128473
Paid Time Off,69760
Remote Work,58211
401(k),113555
401(k),163644
Stock Options,82085
Health Insurance,178861
Stock Options,147860
Remote Work,153673
401(k),182632
401(k),86504
Stock Options,169768
Stock Options,128981
Paid Time Off,83699
401(k),182153
Paid Time Off,147188
Health Insurance,78935
401(k),56191
401(k),155342
401(k),64288
Paid Time Off,83527
401(k),101156
Health Insurance,155005
Stock Options,129035
Paid Time Off,181946
Health Insurance,139349
Health Insurance,160789
Health Insurance,52833
Health Insurance,91805
Paid Time Off,128984
Remote Work,95887
Remote Work,102748
Paid Time Off,126122
401(k),130513
Paid Time Off,117373
401(k),166999
Paid Time Off,187628
Paid Time Off,147770
401(k),71901
Paid Time Off,146326
Health Insurance,142456
401(k),99881
401(k),182356
Paid Time Off,151792
Paid Time Off,91447
Paid Time Off,143165
401(k),65441
401(k),88997
Remote Work,95795
401(k),123282
Stock Options,185397
Remote Work,89560
401(k),143182
401(k),73169
Remote Work,101283
Health Insurance,125074
401(k),127807
401(k),72581
401(k),56480
401(k),127210
401(k),71583
Paid Time Off,160367
Remote Work,76732
Paid Time Off,193939
401(k),138549
Remote Work,161873
Health Insurance,116302
Health Insurance,50568
Remote Work,51734
401(k),171228
401(k),197823
Stock Options,152741
Paid Time Off,158444
Health Insurance,65037
Health Insurance,120140
401(k),103629
Remote Work,156305
Health Insurance,124097
401(k),83000
401(k),82593
Health Insurance,96043
401(k),52027
Remote Work,80486
401(k),76897
Remote Work,160715
401(k),146447
Paid Time Off,104806
Stock Options,191824
401(k),140118
Paid Time Off,152587
Stock Options,173781
Stock Options,95823
401(k),50529
Remote Work,81855
401(k),112996
401(k),121819
401(k),170024
Remote Work,196183
Paid Time Off,50291
401(k),82133
Paid Time Off,161289
Paid Time Off,194399
401(k),180365
401(k),142062
Health Insurance,82952
Health Insurance,172094
401(k),54455
Remote Work,54833
401(k),183577
Health Insurance,175987
401(k),113324
401(k),127880
401(k),76404
Stock Options,119143
401(k),186587
Remote Work,147201
Health Insurance,159498
Stock Options,58392
Health Insurance,185631
Remote Work,172572
Remote Work,67044
401(k),195281
401(k),181317
Health Insurance,169657
401(k),98101
Stock Options,150429
401(k),171747
Health Insurance,53464
Remote Work,94072
401(k),126748
Paid Time Off,153568
Stock Options,135978
401(k),114427
Stock Options,123872
401(k),53057
Health Insurance,187707
401(k),187667
Paid Time Off,141360
401(k),177512
Paid Time Off,118033
Health Insurance,157917
401(k),163889
Paid Time Off,68306
Remote Work,123028
401(k),126758
Paid Time Off,122695
Paid Time Off,112947
Health Insurance,178266
Remote Work,199007
401(k),173799
401(k),74073
401(k),131955
401(k),173054
401(k),140957
401(k),184401
401(k),95798
Paid Time Off,110529
401(k),72153
Stock Options,187418
401(k),170365
Health Insurance,161183
Stock Options,159497
401(k),87106
401(k),166421
Health Insurance,103646
401(k),59744
Stock Options,154896
Remote Work,50101
Paid Time Off,131862
401(k),158848
Health Insurance,186182
Remote Work,160314
401(k),114030
401(k),185928
Health Insurance,137697
Remote Work,171842
Stock Options,130410
Remote Work,134821
Paid Time Off,160272
Health Insurance,168471
401(k),132631
401(k),61831
Remote Work,168433
Stock Options,85557
401(k),62293
401(k),108106
Paid Time Off,177954
Health Insurance,135152
401(k),158849
Stock Options,84872
Remote Work,81426
401(k),145150
Remote Work,194688
Stock Options,163134
Paid Time Off,85067
Stock Options,100112
401(k),60394
401(k),159385
Remote Work,144433
401(k),66644
401(k),62067
Stock Options,199529
Stock Options,99649
Remote Work,135075
401(k),152339
401(k),190803
401(k),114153
Stock Options,53250
401(k),168257
Remote Work,93123
Remote Work,189175
Paid Time Off,134671
Remote Work,92873
Paid Time Off,50843
Remote Work,156552
401(k),132171
Remote Work,161986
401(k),73691
401(k),111600
Stock Options,132828
401(k),99310
Health Insurance,137213
Remote Work,84344
Paid Time Off,193170
Health Insurance,131585
401(k),55754
401(k),86570
401(k),74722
Stock Options,163821
401(k),124204
Stock Options,171477
Paid Time Off,191382
Stock Options,87513
Health Insurance,173362
Paid Time Off,187762
401(k),145034
Stock Options,76588
Stock Options,103266
Stock Options,98813
Remote Work,99287
Health Insurance,70777
401(k),161143
Health Insurance,168451
Remote Work,158912
401(k),85326
Stock Options,63478
401(k),174966
Stock Options,102832
Remote Work,192616
401(k),77017
Paid Time Off,58085
401(k),136707
Health Insurance,144612
401(k),117065
401(k),184532
401(k),176755
401(k),108069
401(k),195195
401(k),109878
Stock Options,131249
Remote Work,82672
Stock Options,167008
Stock Options,116168
Paid Time Off,164304
401(k),196215
401(k),182812
Paid Time Off,68587
Stock Options,104606
Stock Options,150186
Stock Options,182856
Paid Time Off,140490
Stock Options,179271
Health Insurance,151598
401(k),139195
401(k),73492
Health Insurance,105823
401(k),137371
Stock Options,93150
401(k),176804
401(k),52495
Stock Options,168860
401(k),169906
Stock Options,61080
Health Insurance,114075
Health Insurance,72037
401(k),171141
401(k),64967
Stock Options,123131
401(k),111295
401(k),120737
401(k),190326
401(k),101563
Paid Time Off,84441
401(k),154873
Paid Time Off,158614
Remote Work,197942
Stock Options,74009
401(k),137269
401(k),77638
401(k),193639
Paid Time Off,144420
Remote Work,171307
401(k),172336
Remote Work,112152
Remote Work,188981
401(k),67513
Stock Options,57531
401(k),189982
Remote Work,92811
401(k),194778
401(k),138831
401(k),181079
Remote Work,160364
Remote Work,144521
Stock Options,111301
401(k),95945
401(k),159847
401(k),156989
401(k),167548
Health Insurance,125075
Remote Work,55668
Paid Time Off,113796
401(k),177961
401(k),180962
Remote Work,99456
Paid Time Off,183797
Paid Time Off,198664
401(k),124733
Health Insurance,146040
401(k),92659
Stock Options,141155
401(k),196552
401(k),194403
Remote Work,108800
401(k),180825
401(k),192982
401(k),199446
401(k),171212
Remote Work,199177
Stock Options,131515
401(k),112082
Paid Time Off,75459
Remote Work,192262
401(k),160682
Remote Work,157485
Paid Time Off,102147
401(k),178194
401(k),195357
Stock Options,111848
Paid Time Off,139276
401(k),129672
Remote Work,97079
401(k),84784
Health Insurance,50155
Health Insurance,56491
Stock Options,144615
401(k),192438
401(k),102052
Health Insurance,145782
Remote Work,101688
401(k),111205
Stock Options,137343
Paid Time Off,115966
Paid Time Off,194310
401(k),199925
401(k),147309
Paid Time Off,110761
401(k),116892
Stock Options,78565
Remote Work,113349
Health Insurance,152172
401(k),152600
401(k),172447
Paid Time Off,137591
401(k),186217
Health Insurance,197397
Health Insurance,64149
401(k),89881
401(k),62019
Stock Options,53584
Health Insurance,135508
Stock Options,60254
Paid Time Off,179985
401(k),164769
401(k),116015
Remote Work,199202
401(k),72137
Health Insurance,86096
Remote Work,114274
401(k),182872
Remote Work,63413
Health Insurance,146479
401(k),169969
Paid Time Off,88949
Stock Options,102482
Stock Options,104716
Health Insurance,178208
Remote Work,110151
401(k),137931
Paid Time Off,169384
401(k),126629
Remote Work,84015
401(k),97646
401(k),114365
Stock Options,186220
401(k),114044
Paid Time Off,127568
401(k),75264
Paid Time Off,74687
Paid Time Off,165491
Remote Work,56657
Remote Work,119718
Paid Time Off,65578
Paid Time Off,113433
401(k),51894
Remote Work,151439
Remote Work,169370
401(k),188899
Health Insurance,97699
Stock Options,93553
Stock Options,142773
401(k),199499
Stock Options,82137
Paid Time Off,124667
Paid Time Off,171040
401(k),148108
401(k),153607
Stock Options,197048
Remote Work,184426
Paid Time Off,185092
401(k),103102
401(k),69092
401(k),157917
Paid Time Off,101928
401(k),77295
401(k),79794
401(k),98484
Paid Time Off,153904
401(k),87388
Health Insurance,173577
401(k),89511
Remote Work,114735
401(k),87082
Remote Work,182654
Health Insurance,115610
Paid Time Off,65818
Stock Options,177292
Health Insurance,63455
401(k),50662
Paid Time Off,107707
Remote Work,103413
401(k),131891
Paid Time Off,161463
Paid Time Off,148271
401(k),62638
401(k),120286
401(k),110416
Stock Options,117251
Health Insurance,187017
Paid Time Off,53450
Stock Options,162724
Remote Work,165587
Paid Time Off,102652
401(k),178244
401(k),88689
Stock Options,199356
Health Insurance,70968
401(k),81943
401(k),114471
Health Insurance,101966
401(k),94526
401(k),174474
Paid Time Off,125966
Paid Time Off,58915
Health Insurance,91195
Remote Work,148949
Health Insurance,54263
Stock Options,121605
401(k),164485
Remote Work,160162
Stock Options,152678
Health Insurance,180592
401(k),122399
Remote Work,170655
401(k),74011
Remote Work,172605
Remote Work,129266
Stock Options,174995
Paid Time Off,96708
401(k),129862
401(k),82287
Health Insurance,152369
Stock Options,195234
Remote Work,78907
Paid Time Off,170888
Stock Options,170560
401(k),165157
401(k),70981
401(k),173058
Remote Work,160937
Paid Time Off,167177
401(k),79077
Remote Work,50368
401(k),193610
Health Insurance,188832
Paid Time Off,67663
401(k),72442
401(k),167338
401(k),138683
Stock Options,80390
Health Insurance,175153
401(k),198629
Paid Time Off,93632
401(k),192472
Stock Options,99879
401(k),67586
Remote Work,142578
401(k),164386
401(k),199294
Health Insurance,160004
Paid Time Off,121611
Paid Time Off,95835
Health Insurance,98213
Stock Options,152843
401(k),139794
401(k),105583
Stock Options,62915
401(k),96335
401(k),107624
401(k),147230
Paid Time Off,189377
Paid Time Off,92350
401(k),188371
401(k),153069
401(k),61862
401(k),107504
Stock Options,120798
Paid Time Off,102740
401(k),141565
401(k),123280
Stock Options,109695
401(k),131513
401(k),143025
401(k),84092
401(k),123094
Paid Time Off,195984
Health Insurance,139758
Health Insurance,57235
401(k),173919
Paid Time Off,103456
Stock Options,146391
401(k),54020
Remote Work,135604
401(k),84120
401(k),128148
Paid Time Off,179014
401(k),118095
Remote Work,133830
Health Insurance,81274
Paid Time Off,64053
401(k),57618
Paid Time Off,77789
401(k),88247
Remote Work,139222
Stock Options,178204
Paid Time Off,85806
401(k),84636
Remote Work,149217
401(k),103495
Remote Work,160561
Remote Work,56945
401(k),77435
Paid Time Off,83431
401(k),89989
401(k),127146
401(k),144990
Paid Time Off,70002
Health Insurance,150120
Stock Options,116532
Remote Work,98778
Health Insurance,50337
Stock Options,95354
Paid Time Off,98437
401(k),94530
401(k),115317
401(k),184309
401(k),158170
Stock Options,71716
Stock Options,196029
401(k),92089
401(k),154895
Health Insurance,94945
Paid Time Off,165013
401(k),177405
Paid Time Off,89257
Stock Options,61859
Stock Options,82395
Paid Time Off,130646
Health Insurance,72894
401(k),189519
Remote Work,68694
Paid Time Off,92631
Remote Work,106447
401(k),53780
401(k),141350
401(k),144181
Paid Time Off,65927
Paid Time Off,187467
Paid Time Off,127522
Remote Work,95094
Stock Options,127574
Stock Options,90786
Health Insurance,132251
Stock Options,124943
401(k),161358
401(k),108217
Paid Time Off,52941
Health Insurance,136293
401(k),90820
401(k),69314
Paid Time Off,77891
401(k),169850
401(k),135262
Paid Time Off,142370
401(k),196307
401(k),129615
401(k),188879
Stock Options,120049
Stock Options,182902
401(k),87312
Stock Options,90943
Stock Options,170272
401(k),113049
Health Insurance,59817
Health Insurance,159714
Stock Options,57856
Paid Time Off,83483
Remote Work,66869
401(k),87672
Paid Time Off,125063
Paid Time Off,144530
Health Insurance,85246
401(k),72182
Remote Work,172383
401(k),50525
401(k),68133
Remote Work,119500
Paid Time Off,61255
Stock Options,70441
Stock Options,138976
401(k),167248
401(k),154153
Paid Time Off,102587
Stock Options,68305
Health Insurance,187909
401(k),76360
401(k),138367
Stock Options,88422
Stock Options,93350
Paid Time Off,98542
401(k),123272
Health Insurance,187969
401(k),181859
Stock Options,182989
401(k),181012
401(k),187800
401(k),60109
401(k),177071
Paid Time Off,91722
401(k),71345
Stock Options,58796
Paid Time Off,86389
Paid Time Off,52923
401(k),179909
Stock Options,127467
Health Insurance,160460
Remote Work,170016
401(k),137976
401(k),164144
Stock Options,133342
Remote Work,101328
Remote Work,75318
Paid Time Off,75922
Paid Time Off,131521
Stock Options,118262
401(k),126877
401(k),120648
Paid Time Off,70496
401(k),197585
401(k),117785
Stock Options,95924
Stock Options,89102
Stock Options,73140
401(k),124946
Health Insurance,173256
401(k),60319
Stock Options,181421
Health Insurance,98193
401(k),173810
401(k),60499
401(k),93555
401(k),150081
401(k),100742
401(k),123883
Health Insurance,113477
401(k),83428
Remote Work,136386
Stock Options,59072
Remote Work,96238
Stock Options,69419
401(k),186863
401(k),105511
401(k),95792
Remote Work,77479
Paid Time Off,73971
Stock Options,177961
401(k),92928
401(k),60881
401(k),72963
401(k),140567
401(k),105803
401(k),196103
Remote Work,199271
Stock Options,104515
401(k),173132
401(k),176010
Health Insurance,79813
Stock Options,55190
401(k),148026
Paid Time Off,165769
Remote Work,150522
Paid Time Off,75079
401(k),52338
Stock Options,157546
Stock Options,95812
Paid Time Off,164550
401(k),119938
Remote Work,119664
401(k),68086
401(k),170372
Paid Time Off,138681
401(k),178061
Health Insurance,150873
Paid Time Off,87441
Stock Options,182207
Stock Options,82901
Stock Options,191673
401(k),71788
401(k),100883
401(k),181109
Remote Work,171923
Paid Time Off,100600
Paid Time Off,176322
Paid Time Off,193923
Stock Options,195218
Health Insurance,152526
401(k),137923
Paid Time Off,52965
Health Insurance,143392
Health Insurance,152779
Paid Time Off,180502
Paid Time Off,57364
401(k),129397
401(k),165549
401(k),155043
Paid Time Off,93273
Remote Work,53959
Health Insurance,74422
Health Insurance,160769
401(k),187776
Stock Options,61390
401(k),115246
Health Insurance,149668
401(k),83335
Remote Work,167210
401(k),149404
401(k),51948
401(k),116176
Paid Time Off,184206
401(k),56460
401(k),68509
401(k),190124
Remote Work,101702
Stock Options,77523
Remote Work,109208
401(k),96343
Stock Options,192381
401(k),64907
401(k),57347
401(k),84582
Stock Options,69935
Paid Time Off,178946
Remote Work,125521
Paid Time Off,137000
Health Insurance,90450
Health Insurance,124876
Stock Options,121780
Paid Time Off,107704
401(k),178648
401(k),118160
Remote Work,150014
401(k),56921
Stock Options,161698
Remote Work,67153
Remote Work,133769
401(k),158187
401(k),93264
401(k),84832
Remote Work,198256
Paid Time Off,148688
401(k),187803
401(k),62356
Health Insurance,98961
Paid Time Off,135379
Health Insurance,184172
Health Insurance,117724
Stock Options,76394
401(k),164816
Paid Time Off,193634
Paid Time Off,84355
401(k),108662
401(k),151005
401(k),196130
Stock Options,133594
401(k),153751
Stock Options,177543
401(k),143872
401(k),174103
Paid Time Off,113660
Remote Work,95821
401(k),129643
401(k),186656
401(k),109438
Paid Time Off,114370
401(k),126286
401(k),147743
Paid Time Off,147055
Health Insurance,126763
Health Insurance,198504
401(k),170420
401(k),52614
Health Insurance,62565
Remote Work,192183
Health Insurance,70439
Paid Time Off,131280
401(k),141422
401(k),65400
Health Insurance,128645
401(k),134846
401(k),62970
401(k),174407
Remote Work,165697
Stock Options,80086
401(k),115757
Health Insurance,130209
Remote Work,93300
Stock Options,54897
Stock Options,96568
Paid Time Off,137087
Paid Time Off,102313
401(k),179962
Stock Options,113255
401(k),187583
401(k),183726
Health Insurance,79317
Stock Options,84385
401(k),176886
401(k),69157
Stock Options,57819
Stock Options,125994
Stock Options,111484
Stock Options,186992
401(k),167246
Paid Time Off,51609
Remote Work,152962
Health Insurance,105041
401(k),167266
Remote Work,180864
Remote Work,175951
Stock Options,50205
Remote Work,107547
401(k),127486
Health Insurance,164379
401(k),55656
Paid Time Off,135524
401(k),188041
401(k),140548
Remote Work,55868
401(k),188710
401(k),67017
401(k),134922
401(k),64686
